,code,county
0,1,APPLING
1,2,ATKINSON
2,3,BACON
3,4,BAKER
4,5,BALDWIN
5,6,BANKS
6,7,BARROW
7,8,BARTOW
8,9,BEN HILL
9,10,BERRIEN
10,11,BIBB
11,12,BLECKLEY
12,13,BRANTLEY
13,14,BROOKS
14,15,BRYAN
15,16,BULLOCH
16,17,BURKE
17,18,BUTTS
18,19,CALHOUN
19,20,CAMDEN
20,21,CANDLER
21,22,CARROLL
22,23,CATOOSA
23,24,CHARLTON
24,25,CHATHAM
25,26,CHATTAHOOCHEE
26,27,CHATTOOGA
27,28,CHEROKEE
28,29,CLARKE
29,30,CLAY
30,31,CLAYTON
31,32,CLINCH
32,33,COBB
33,34,COFFEE
34,35,COLQUITT
35,36,COLUMBIA
36,37,COOK
37,38,COWETA
38,39,CRAWFORD
39,40,CRISP
40,41,DADE
41,42,DAWSON
42,43,DECATUR
43,44,DEKALB
44,45,DODGE
45,46,DOOLY
46,47,DOUGHERTY
47,48,DOUGLAS
48,49,EARLY
49,50,ECHOLS
50,51,EFFINGHAM
51,52,ELBERT
52,53,EMANUEL
53,54,EVANS
54,55,FANNIN
55,56,FAYETTE
56,57,FLOYD
57,58,FORSYTH
58,59,FRANKLIN
59,60,FULTON
60,61,GILMER
61,62,GLASCOCK
62,63,GLYNN
63,64,GORDON
64,65,GRADY
65,66,GREENE
66,67,GWINNETT
67,68,HABERSHAM
68,69,HALL
69,70,HANCOCK
70,71,HARALSON
71,72,HARRIS
72,73,HART
73,74,HEARD
74,75,HENRY
75,76,HOUSTON
76,77,IRWIN
77,78,JACKSON
78,79,JASPER
79,80,JEFF DAVIS
80,81,JEFFERSON
81,82,JENKINS
82,83,JOHNSON
83,84,JONES
84,85,LAMAR
85,86,LANIER
86,87,LAURENS
87,88,LEE
88,89,LIBERTY
89,90,LINCOLN
90,91,LONG
91,92,LOWNDES
92,93,LUMPKIN
93,94,MACON
94,95,MADISON
95,96,MARION
96,97,MCDUFFIE
97,98,MCINTOSH
98,99,MERIWETHER
99,100,MILLER
100,101,MITCHELL
101,102,MONROE
102,103,MONTGOMERY
103,104,MORGAN
104,105,MURRAY
105,106,MUSCOGEE
106,107,NEWTON
107,108,OCONEE
108,109,OGLETHORPE
109,110,PAULDING
110,111,PEACH
111,112,PICKENS
112,113,PIERCE
113,114,PIKE
114,115,POLK
115,116,PULASKI
116,117,PUTNAM
117,118,QUITMAN
118,119,RABUN
119,120,RANDOLPH
120,121,RICHMOND
121,122,ROCKDALE
122,123,SCHLEY
123,124,SCREVEN
124,125,SEMINOLE
125,126,SPALDING
126,127,STEPHENS
127,128,STEWART
128,129,SUMTER
129,130,TALBOT
130,131,TALIAFERRO
131,132,TATTNALL
132,133,TAYLOR
133,134,TELFAIR
134,135,TERRELL
135,136,THOMAS
136,137,TIFT
137,138,TOOMBS
138,139,TOWNS
139,140,TREUTLEN
140,141,TROUP
141,142,TURNER
142,143,TWIGGS
143,144,UNION
144,145,UPSON
145,146,WALKER
146,147,WALTON
147,148,WARE
148,149,WARREN
149,150,WASHINGTON
150,151,WAYNE
151,152,WEBSTER
152,153,WHEELER
153,154,WHITE
154,155,WHITFIELD
155,156,WILCOX
156,157,WILKES
157,158,WILKINSON
158,159,WORTH
